;app_id;dev_id;hardware_serial;port;counter;is_retry;latitude;longitude;distancia;time;frequency;modulation;data_rate;airtime;coding_rate;gtw_id;timestamp;gtime;channel;rssi;snr;rf_chain;glatitude;glongitude;altitude;location_source
56;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;59;False;-3.7471989999999997;-38.577607;90.78;2019-12-12T12:44:35.752841709Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;1889814196;;2;-99;7.5;0;-3.7464726;-38.578144;1;registry
57;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;60;False;-3.7471949999999996;-38.577608000000005;90.37;2019-12-12T12:44:39.342848017Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;1893406348;;2;-96;7.0;0;-3.7464726;-38.578144;1;registry
58;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;61;False;-3.7471910000000004;-38.577605;90.24;2019-12-12T12:44:43.847139308Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;1897910444;;2;-93;8.0;0;-3.7464726;-38.578144;1;registry
59;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;62;False;-3.7471940000000004;-38.5776;90.85;2019-12-12T12:44:47.614984815Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;1901685588;;2;-101;7.0;0;-3.7464726;-38.578144;1;registry
60;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;63;False;-3.7471949999999996;-38.577597999999995;91.08;2019-12-12T12:44:52.037045288Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;1906104092;;2;-101;7.5;0;-3.7464726;-38.578144;1;registry
61;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;64;False;-3.7471949999999996;-38.577604;90.65;2019-12-12T12:44:56.10207164Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;1910165492;;2;-95;7.5;0;-3.7464726;-38.578144;1;registry
62;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;65;False;-3.7471900000000002;-38.577604;90.23;2019-12-12T12:44:59.889841838Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;1913958324;;2;-95;7.2;0;-3.7464726;-38.578144;1;registry
82;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;85;False;-3.7476760000000002;-38.578340999999995;125.4;2019-12-12T12:46:22.832656268Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;1996901036;;2;-94;7.2;0;-3.7464726;-38.578144;1;registry
84;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;87;False;-3.747675;-38.578339;125.25;2019-12-12T12:46:31.525355337Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2005584612;;2;-100;7.5;0;-3.7464726;-38.578144;1;registry
85;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;88;False;-3.7476809999999996;-38.578337;125.86;2019-12-12T12:46:36.350656742Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2010419588;;2;-97;7.5;0;-3.7464726;-38.578144;1;registry
86;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;89;False;-3.747682;-38.578334999999996;125.93;2019-12-12T12:46:39.718614884Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2013780804;;2;-89;7.5;0;-3.7464726;-38.578144;1;registry
87;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;90;False;-3.7476830000000003;-38.578336;126.06;2019-12-12T12:46:43.473142928Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2017539668;;2;-90;8.0;0;-3.7464726;-38.578144;1;registry
88;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;92;False;-3.7476830000000003;-38.578333;126.0;2019-12-12T12:46:51.018524332Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2025081084;;2;-95;7.5;0;-3.7464726;-38.578144;1;registry
89;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;93;False;-3.7476830000000003;-38.578334999999996;126.04;2019-12-12T12:46:54.900034774Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2028959508;;2;-100;6.8;0;-3.7464726;-38.578144;1;registry
90;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;94;False;-3.7476839999999996;-38.578334999999996;126.15;2019-12-12T12:46:59.760878177Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2033829596;;2;-95;7.0;0;-3.7464726;-38.578144;1;registry
91;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;95;False;-3.7476839999999996;-38.578337;126.19;2019-12-12T12:47:03.350779084Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2037416036;;2;-82;8.0;0;-3.7464726;-38.578144;1;registry
113;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;118;False;-3.7483419999999996;-38.579257;233.71;2019-12-12T12:48:40.594236581Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2134659084;;2;-101;6.2;0;-3.7464726;-38.578144;1;registry
126;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;131;False;-3.748679;-38.579072;257.07;2019-12-12T12:49:38.49341295Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2192557492;;2;-91;7.5;0;-3.7464726;-38.578144;1;registry
128;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;133;False;-3.748677;-38.579073;256.91;2019-12-12T12:49:46.995571271Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2201058100;;2;-90;7.8;0;-3.7464726;-38.578144;1;registry
129;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;134;False;-3.748677;-38.579079;257.18;2019-12-12T12:49:51.350822031Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2205411708;;2;-91;7.2;0;-3.7464726;-38.578144;1;registry
141;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;146;False;-3.7483449999999996;-38.579252000000004;233.7;2019-12-12T12:50:40.297690324Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2254360460;;2;-101;7.0;0;-3.7464726;-38.578144;1;registry
199;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;205;False;-3.74765;-38.577079;167.3;2019-12-12T12:54:44.977454841Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2499037348;;2;-100;3.8;0;-3.7464726;-38.578144;1;registry
200;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;206;False;-3.747649;-38.577076;167.45;2019-12-12T12:54:48.339967571Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2502398548;;2;-106;7.2;0;-3.7464726;-38.578144;1;registry
201;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;207;False;-3.7476480000000003;-38.577076;167.37;2019-12-12T12:54:53.096744701Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2507157916;;2;-96;7.2;0;-3.7464726;-38.578144;1;registry
202;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;208;False;-3.7476480000000003;-38.577071000000004;167.75;2019-12-12T12:54:57.961115993Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2512019156;;2;-101;7.2;0;-3.7464726;-38.578144;1;registry
203;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;211;False;-3.747644;-38.577064;167.98;2019-12-12T12:55:08.702025803Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2522762412;;2;-101;7.2;0;-3.7464726;-38.578144;1;registry
204;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;212;False;-3.74764;-38.577062;167.82;2019-12-12T12:55:12.805216707Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2526866604;;2;-101;7.0;0;-3.7464726;-38.578144;1;registry
205;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;213;False;-3.747635;-38.577061;167.51;2019-12-12T12:55:16.93519935Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2530987052;;2;-101;7.2;0;-3.7464726;-38.578144;1;registry
206;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;214;False;-3.7476339999999997;-38.577061;167.43;2019-12-12T12:55:21.039247871Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2535101612;;2;-101;5.5;0;-3.7464726;-38.578144;1;registry
207;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;215;False;-3.747632;-38.577059999999996;167.35;2019-12-12T12:55:24.732005733Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2538785260;;2;-102;7.5;0;-3.7464726;-38.578144;1;registry
208;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;216;False;-3.7476309999999997;-38.577058;167.43;2019-12-12T12:55:29.787490963Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2543841292;;2;-100;7.8;0;-3.7464726;-38.578144;1;registry
209;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;217;False;-3.7476309999999997;-38.577056;167.58;2019-12-12T12:55:34.059336654Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2548118156;;2;-101;7.0;0;-3.7464726;-38.578144;1;registry
210;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;219;False;-3.7476309999999997;-38.577059999999996;167.27;2019-12-12T12:55:42.590353783Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2556645340;;2;-106;-1.0;0;-3.7464726;-38.578144;1;registry
211;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;220;False;-3.747643;-38.577058;168.37;2019-12-12T12:55:46.440896413Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2560494268;;2;-107;6.2;0;-3.7464726;-38.578144;1;registry
212;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;221;False;-3.747645;-38.577059000000006;168.45;2019-12-12T12:55:50.556725572Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2564617676;;2;-108;6.0;0;-3.7464726;-38.578144;1;registry
213;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;222;False;-3.747647;-38.577056;168.84;2019-12-12T12:55:54.247917202Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2568301340;;2;-108;6.0;0;-3.7464726;-38.578144;1;registry
214;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;223;False;-3.747649;-38.577055;169.08;2019-12-12T12:55:58.574741798Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2572631340;;2;-113;5.5;0;-3.7464726;-38.578144;1;registry
215;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;224;False;-3.7476510000000003;-38.577057;169.08;2019-12-12T12:56:02.163808477Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2576220548;;2;-107;5.5;0;-3.7464726;-38.578144;1;registry
216;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;225;False;-3.747647;-38.577059000000006;168.61;2019-12-12T12:56:06.303096907Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2580364612;;2;-112;-4.0;0;-3.7464726;-38.578144;1;registry
217;bus_gps_data;gps_sensor_4;00C47EF7D5B01DCC;1;226;False;-3.74765;-38.577054;169.24;2019-12-12T12:56:09.790744749Z;916.8;LORA;SF9BW125;267264000;4/5;eui-b827ebfffeb50b01;2583850508;;2;-108;7.0;0;-3.7464726;-38.578144;1;registry
